2026-08-19T06:20:23.076204400+00:59 [    0.884484] brd: module loaded
2026-08-19T06:20:23.085651800+00:59 [    0.894174] loop: module loaded
2026-08-19T06:20:23.086494100+00:59 [    0.895136] Loading iSCSI transport class v2.0-870.
2026-08-19T06:20:23.087712200+00:59 [    0.896544] rdac: device handler registered
2026-08-19T06:20:23.088833200+00:59 [    0.897391] Microchip SmartPQI Driver (v2.1.34-035)
2026-08-19T06:20:23.089497800+00:59 [    0.898390] VMware PVSCSI driver - version 1.0.7.0-k
2026-08-19T06:20:23.090113900+00:59 [    0.898907] hv_vmbus: registering driver hv_storvsc
2026-08-19T06:20:23.094621800+00:59 [    0.903310] scsi host0: storvsc_host_t
2026-08-19T06:20:23.095292000+00:59 [    0.903805] PPP generic driver version 2.4.2
2026-08-19T06:20:23.096602600+00:59 [    0.904974] VMware vmxnet3 virtual NIC driver - version 1.9.0.0-k-NAPI
2026-08-19T06:20:23.097395200+00:59 [    0.906150] hv_vmbus: registering driver hv_netvsc
2026-08-19T06:20:23.098010000+00:59 [    0.906833] Fusion MPT base driver 3.04.20
2026-08-19T06:20:23.098591600+00:59 [    0.907376] Copyright (c) 1999-2008 LSI Corporation
2026-08-19T06:20:23.099119200+00:59 [    0.907963] Fusion MPT SPI Host driver 3.04.20
2026-08-19T06:20:23.099692400+00:59 [    0.908542] Fusion MPT SAS Host driver 3.04.20
2026-08-19T06:20:23.100400000+00:59 [    0.909135] Fusion MPT misc device (ioctl) driver 3.04.20
2026-08-19T06:20:23.101313500+00:59 [    0.910064] mptctl: Registered with Fusion MPT base driver
2026-08-19T06:20:23.101691500+00:59 [    0.910662] mptctl: /dev/mptctl @ (major,minor=10,220)
2026-08-19T06:20:23.102300300+00:59 [    0.911121] i8042: PNP: No PS/2 controller found.
2026-08-19T06:20:23.102807800+00:59 [    0.911655] hv_vmbus: registering driver hyperv_keyboard
2026-08-19T06:20:23.103593800+00:59 [    0.912295] rtc_cmos 00:00: RTC can wake from S4
2026-08-19T06:20:23.111434000+00:59 [    0.919394] rtc_cmos 00:00: registered as rtc0
2026-08-19T06:20:23.114115000+00:59 [    0.922211] rtc_cmos 00:00: setting system clock to 2026-08-19T05:20:22 UTC (1787116822)
2026-08-19T06:20:23.115636600+00:59 [    0.924000] rtc_cmos 00:00: alarms up to one month, 114 bytes nvram
2026-08-19T06:20:23.117166900+00:59 [    0.925072] device-mapper: core: CONFIG_IMA_DISABLE_HTABLE is disabled. Duplicate IMA measurements will not be recorded in the IMA log.
2026-08-19T06:20:23.117831700+00:59 [    0.926624] device-mapper: uevent: version 1.0.3
2026-08-19T06:20:23.119301900+00:59 [    0.927518] device-mapper: ioctl: 4.50.0-ioctl (2025-04-28) initialised: dm-devel@lists.linux.dev
